Particle count = 4096 Domain size = 32.000   0   0   0   0    Noise = 360
0.149935   0.0682947   0.113604   0.173055   0.105879    Noise = 359
0.0561618   0.0567908   0.155446   0.126978   0.127064    Noise = 358
0.175396   0.167535   0.140056   0.181197   0.191523    Noise = 357
0.124008   0.19543   0.146528   0.1304   0.0902414    Noise = 356
0.193644   0.162591   0.160598   0.124314   0.121196    Noise = -0.00132704
0.123169   0.147308   0.180508   0.145515   0.171907    Noise = 0
0.133028   0.233697   0.187315   0.466566   0.162531    Noise = 1.00295e-036
0.247789   0.230936   0.31332   0.23966   0.437865    Noise = 1.00295e-036
0.576547   0.273601   0.206089   0.326142   0.212775    Noise = 1.00295e-036
0.214665   0.279553   0.151973   0.257973   0.329478    Noise = 1.00295e-036
0.328035   0.295335   0.252611   0.204133   0.328898    Noise = -1.21979e-012
0.217114   0.255455   0.17732   0.24287   0.352185    Noise = 0
0.359075   0.310263   0.244308   0.483473   0.330086    Noise = -0.00132704
0.209716   0.301472   0.251526   0.308171   0.366182    Noise = -0.00132704
0.700297   0.522028   0.27801   0.320475   0.380627    Noise = 2.935e-038
0.400921   0.435096   0.31518   0.490818   0.489684    Noise = 0
0.383625   0.216523   0.400076   0.795256   0.366929    Noise = 0
0.452715   0.353896   0.467455   0.375389   0.337567    Noise = 0
0.396558   0.402249   0.439247   0.437547   0.176424    Noise = 0
0.654161   0.337637   0.410097   0.352413   0.529483    Noise = 0
0.368326   0.430492   0.696519   0.660242   0.720269    Noise = 0
0.550256   0.382932   1.4275   0.242129   0.434492    Noise = 0
0.731128   0.803081   0.662474   0.442436   0.414153    Noise = 0
0.580339   0.373553   0.447076   0.779307   0.295263    Noise = 0
0.433143   0.473011   0.807222   0.471322   0.493249    Noise = 0
0.421965   0.779971   0.888782   0.661196   0.565319    Noise = 0
0.544139   1.14251   0.792268   0.459068   0.368856    Noise = 0
0.534751   0.671513   0.69653   0.508803   0.49293    Noise = 0
0.567029   0.664248   0.627582   0.570613   0.51731    Noise = 0
0.775502   1.04316   0.602427   0.97472   0.927793    Noise = 0
0.583238   0.779689   0.853925   0.875521   0.567719    Noise = 0
0.756572   0.521411   0.411462   1.0799   0.650055    Noise = 0
0.826287   0.589393   0.493833   0.514416   0.625454    Noise = 0
0.708179   0.512369   0.301536   0.712703   0.349335    Noise = 0
1.0062   0.742623   0.554736   0.314772   0.456473    Noise = 0
0.689616   0.933805   0.662887   0.575472   0.420467    Noise = -1.5884e+038
0.687406   0.876656   0.813024   0.848335   0.617258    Noise = 0
0.849503   1.08028   0.589409   0.694475   1.07083    Noise = 0
0.447821   0.79217   0.979917   1.05172   0.779373    Noise = 0
2.35492   0.825682   1.0791   0.695766   0.513053    Noise = 0
1.00529   0.746347   0.579593   0.941285   0.979013    Noise = 0
0.350175   0.739016   0.79891   0.754293   0.74376    Noise = 0
1.08323   0.814962   0.965467   1.02223   0.615258    Noise = 0
1.18559   1.5452   0.720445   0.856635   0.902449    Noise = 0
0.375488   1.58734   0.580632   0.545203   0.632419    Noise = 0
0.238947   1.4679   0.783003   0.919452   1.16022    Noise = 0
0.450988   0.6   0.504619   1.16492   0.613979    Noise = 1.4013e-045
0.320292   0.663361   0.929085   0.6782   0.561517    Noise = 1.72178e-041
0.771388   0.666947   0.425062   0.245587   1.33313    Noise = 1
1.63034   1.41668   1.23442   0.413737   0.509384    Noise = 0
1.15904   0.712643   0.357995   0.854007   0.291883    Noise = 0
0.463273   0.812241   1.64054   0.79188   0.718208    Noise = 0
2.56273   0.919381   0.817371   0.61666   1.94915    Noise = 0
0.880333   1.1098   0.656186   0.546379   0.498294    Noise = 0
0.331284   0.235223   0.451618   0.435812   0.407812    Noise = 0
0.656381   1.46948   0.814296   0.410712   0.734748    Noise = 0
0.589626   0.2   0.389388   0.46331   1.16996    Noise = 0
0.461556   0.802771   0.585601   0.6   3.3851    Noise = 0
1.33267   0.340108   0.539995   0.4   0.250777    Noise = 0
1.05614   0.451403   0.57805   0.936778   0.437864    Noise = 0
0.603558   1.05476   0.4   0.288836   0.486128    Noise = 0
0.6   0.726802   0.741965   0.790893   2.84785    Noise = 0
0.871607   0.910164   0.545275   0.8   0.550408    Noise = 0
0.636195   0.4   0.364886   0.568369   0.758153    Noise = 0
0.725788   0.835439   1.48163   0.461522   0.8    Noise = 0
0.709468   0.8   0.715557   0.721689   0.66854    Noise = 0
0.480286   0.897282   0.4   0.2   0.6    Noise = 0
0.564325   0.2   0.385093   0.536266   2.89655    Noise = 0
0.4   0.890914   0.653183   0.6   0.6    Noise = 0
0.229093   0.957968   0.417457   0.8   0.678994    Noise = 0
0.764407   0.391464   0.840552   0.4   0.379486    Noise = 0
0.142893   0.426236   0.350315   0.425385   0.711626    Noise = 0
0.473965   0.0865953   0.662865   1.04433   0.2    Noise = 0
1.19734   0.4   0.2   0.641421   0.599744    Noise = 0
0.327172   0.63982   0.922201   0.4   0.705855    Noise = 0
1.3169   0.942035   1.34981   0.268056   0.539448    Noise = 0
0.2   0.399264   0   0   0.0480179    Noise = 0
0.577979   0.564643   0.633487   0.264319   0.2    Noise = 0
0.771875   0.4   0.4   0.887006   3.20987    Noise = 0
0.694736   0.598385   0.548792   2.60203   1.4035    Noise = 0
0.519546   0.968981   1.05141   0.159532   0.243058    Noise = 0
0   0.73344   0.4   0.966971   0.925278    Noise = 0
0.49481   1.53277   0.504288   0.2   0.2    Noise = 0
0   0.748631   0.39943   0.4   0.2    Noise = 0
0.587181   0.341963   0.4   0.483837   0.599975    Noise = 0
0.193519   0.486787   0.4   0.6   0.410297    Noise = 0
0.2   0.2   0.2   0.4   0.4    Noise = 0
0.223589   0.6   0.254761   0.4   0.599993    Noise = 0
0   0.4   0   0.576843   0.542809    Noise = 0
0.401941   0.780566   0.35765   0.607389   0.0419879    Noise = 0
0.4   0.0617657   0.2   0.384625   0.4    Noise = 0
0.6   1.31797   0.59427   0.100862   0.189428    Noise = 0
0.348016   0.44411   0.161654   0   0.496424    Noise = 0
0.4   0.4   0.2   0.275654   0.506145    Noise = 0
0.976555   0.330025   0   0.2   1.23934    Noise = 0
1.52023   0.2   0   0   0    Noise = 0
0   0.550762   0   1.05969   0    Noise = 0
0.260201   0.2   0.0750826   0.6   0.54835    Noise = 0
0.2   0.363096   0.4   0.180276   0.325169    Noise = 0
